"eventID","parentEventID","habitat","locationID","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geodeticDatum","locality","sampleSizeValue","sampleSizeUnit","eventDate","eventType","samplingProtocol","eventRemarks","identifiedBy","county","stateProvince","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumElevationinMeters","maximumElevationinMeters"
"SCBI_014.20190729","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",158,"m","2019-07-29 19:56:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20190819","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",158,"m","2019-08-19 18:27:00","site visit","drag","Small patch of wavy leaf. Not seeding.","L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20190911","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2019-09-11 15:31:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20191007","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2019-10-07 13:09:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20200330","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",NA,NA,"2020-03-30 16:00:00","site visit",NA,"COVID19; No survey conducted; identifiedBy is NA because there are no occurrence records for this event",NA,NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20200420","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",NA,NA,"2020-04-20 16:00:00","site visit",NA,"COVID19; No survey conducted; identifiedBy is NA because there are no occurrence records for this event",NA,NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20200511","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",NA,NA,"2020-05-11 16:00:00","site visit",NA,"COVID19; No survey conducted; identifiedBy is NA because there are no occurrence records for this event",NA,NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20200601","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",NA,NA,"2020-06-01 16:00:00","site visit",NA,"COVID19; No survey conducted; identifiedBy is NA because there are no occurrence records for this event",NA,NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20200622","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",167,"m","2020-06-22 12:51:00","site visit","drag","identifiedBy is NA because there are no occurrence records for this event",NA,NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20200715","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",155,"m","2020-07-15 15:20:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20200803","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2020-08-03 13:03:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20200824","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2020-08-24 16:51:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20200914","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2020-09-14 17:21:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20201005","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",161,"m","2020-10-05 18:56:00","site visit","drag","identifiedBy is NA because there are no occurrence records for this event",NA,NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20210330","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",154,"m","2021-03-30 17:19:00","site visit","drag","1 tick fell off cloth during attempted collection.; identifiedBy is NA because there are no occurrence records for this event",NA,NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20210419","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",154,"m","2021-04-19 12:56:00","site visit","drag","identifiedBy is NA because there are no occurrence records for this event",NA,NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20210519","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2021-05-19 14:00:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20210607","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",165,"m","2021-06-07 17:52:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20210621","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",153,"m","2021-06-21 15:17:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20210714","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2021-07-14 17:05:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20210802","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",161,"m","2021-08-02 17:39:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20210824","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",158,"m","2021-08-24 18:13:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20210913","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",80,"m","2021-09-13 16:15:00","site visit","drag","Stopped sampling; invasive basket grass seeding","L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20220328","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",150,"m","2022-03-28 16:30:00","site visit","drag","Start time not noted; estimate given; identifiedBy is NA because there are no occurrence records for this event",NA,NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20220420","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",161,"m","2022-04-20 13:04:00","site visit","drag","identifiedBy is NA because there are no occurrence records for this event",NA,NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20220509","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",154,"m","2022-05-09 15:59:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20220531","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",156,"m","2022-05-31 13:17:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20220620","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",155,"m","2022-06-20 14:45:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20220713","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",162,"m","2022-07-13 15:07:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20220803","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2022-08-03 15:16:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20220822","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2022-08-22 14:56:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20220915","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",156,"m","2022-09-15 16:58:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20230327","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",158,"m","2023-03-27 14:57:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20230417","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2023-04-17 15:33:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20230508","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",164,"m","2023-05-08 18:34:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20230531","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",141,"m","2023-05-31 18:59:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20230619","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",130,"m","2023-06-19 12:19:00","site visit","drag","One of the points was too overgrown could not locate","L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20230710","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",130,"m","2023-07-10 15:33:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20230802","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",136,"m","2023-08-02 14:57:00","site visit","drag and flag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20230821","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2023-08-21 13:11:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20230911","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",120,"m","2023-09-11 14:56:00","site visit","drag",NA,"L. Beati",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20240325","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",140,"m","2024-03-25 17:45:00","site visit","drag","identifiedBy is NA because there are no occurrence records for this event",NA,NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20240415","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",147,"m","2024-04-15 11:54:00","site visit","drag",NA,"Guang Xu",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20240508","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",165,"m","2024-05-08 18:26:00","site visit","drag",NA,"Guang Xu",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20240528","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",152,"m","2024-05-28 14:20:00","site visit","drag",NA,"Guang Xu",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20240617","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",155,"m","2024-06-17 13:56:00","site visit","drag",NA,"Guang Xu",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20240708","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",149,"m","2024-07-08 16:47:00","site visit","drag",NA,"Guang Xu",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20240729","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",147,"m","2024-07-29 14:58:00","site visit","drag",NA,"Guang Xu",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20240821","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",154,"m","2024-08-21 18:35:00","site visit","drag",NA,"Guang Xu",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20240909","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",145,"m","2024-09-09 17:44:00","site visit","drag and flag",NA,"Guang Xu",NA,NA,NA,NA,"361.9m",361.4,362.4
"SCBI_014.20241009","SCBI_014","deciduousForest","SCBI_014.tickPlot.tck","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",143,"m","2024-10-09 19:19:00","site visit","drag",NA,"Guang Xu",NA,NA,NA,NA,"361.9m",361.4,362.4
