"eventID","occurrenceID","measurementType","measurementValue","measurementRemarks"
"SCBI_014.20200715","SCBI_014.20200715.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20200803","SCBI_014.20200803.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20200803","SCBI_014.20200803.DERVAR.M","Tick Sample Condition","OK",NA
"SCBI_014.20200824","SCBI_014.20200824.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20200914","SCBI_014.20200914.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20210519","SCBI_014.20210519.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20210519","SCBI_014.20210519.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20210519","SCBI_014.20210519.AMBAME.F","Tick Sample Condition","OK",NA
"SCBI_014.20210519","SCBI_014.20210519.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20210519","SCBI_014.20210519.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20210607","SCBI_014.20210607.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20210607","SCBI_014.20210607.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20210607","SCBI_014.20210607.AMBAME.F","Tick Sample Condition","OK",NA
"SCBI_014.20210607","SCBI_014.20210607.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20210621","SCBI_014.20210621.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20210621","SCBI_014.20210621.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20210621","SCBI_014.20210621.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20210714","SCBI_014.20210714.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20210714","SCBI_014.20210714.DERVAR.F","Tick Sample Condition","OK",NA
"SCBI_014.20210714","SCBI_014.20210714.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20210714","SCBI_014.20210714.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20210802","SCBI_014.20210802.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20210802","SCBI_014.20210802.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20210802","SCBI_014.20210802.HAELON.F","Tick Sample Condition","OK",NA
"SCBI_014.20210802","SCBI_014.20210802.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20210824","SCBI_014.20210824.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20210824","SCBI_014.20210824.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20210913","SCBI_014.20210913.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20220509","SCBI_014.20220509.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20220509","SCBI_014.20220509.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20220509","SCBI_014.20220509.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20220509","SCBI_014.20220509.AMBAME.M","Tick Sample Condition","OK",NA
"SCBI_014.20220509","SCBI_014.20220509.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20220531","SCBI_014.20220531.DERVAR.F","Tick Sample Condition","OK",NA
"SCBI_014.20220531","SCBI_014.20220531.DERVAR.M","Tick Sample Condition","OK",NA
"SCBI_014.20220531","SCBI_014.20220531.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20220531","SCBI_014.20220531.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20220531","SCBI_014.20220531.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20220620","SCBI_014.20220620.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20220620","SCBI_014.20220620.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20220620","SCBI_014.20220620.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20220620","SCBI_014.20220620.DERVAR.M","Tick Sample Condition","OK",NA
"SCBI_014.20220713","SCBI_014.20220713.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20220713","SCBI_014.20220713.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20220713","SCBI_014.20220713.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20220803","SCBI_014.20220803.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20220803","SCBI_014.20220803.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20220803","SCBI_014.20220803.HAELON.F","Tick Sample Condition","OK",NA
"SCBI_014.20220803","SCBI_014.20220803.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20220822","SCBI_014.20220822.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20220822","SCBI_014.20220822.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20220822","SCBI_014.20220822.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20220915","SCBI_014.20220915.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20230327","SCBI_014.20230327.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20230327","SCBI_014.20230327.AMBAME.F","Tick Sample Condition","OK",NA
"SCBI_014.20230417","SCBI_014.20230417.AMBAME.F","Tick Sample Condition","OK",NA
"SCBI_014.20230417","SCBI_014.20230417.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20230417","SCBI_014.20230417.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20230417","SCBI_014.20230417.AMBAME.M","Tick Sample Condition","OK",NA
"SCBI_014.20230508","SCBI_014.20230508.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20230508","SCBI_014.20230508.HAELON.F","Tick Sample Condition","OK",NA
"SCBI_014.20230508","SCBI_014.20230508.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20230531","SCBI_014.20230531.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20230531","SCBI_014.20230531.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20230531","SCBI_014.20230531.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20230619","SCBI_014.20230619.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20230619","SCBI_014.20230619.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20230710","SCBI_014.20230710.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20230802","SCBI_014.20230802.HAELON.F","Tick Sample Condition","OK",NA
"SCBI_014.20230802","SCBI_014.20230802.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20230802","SCBI_014.20230802.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20230821","SCBI_014.20230821.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20230821","SCBI_014.20230821.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20230821","SCBI_014.20230821.HAELON.F","Tick Sample Condition","OK",NA
"SCBI_014.20230821","SCBI_014.20230821.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20230911","SCBI_014.20230911.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20230911","SCBI_014.20230911.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20240415","SCBI_014.20240415.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20240415","SCBI_014.20240415.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20240415","SCBI_014.20240415.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20240415","SCBI_014.20240415.DERVAR.F","Tick Sample Condition","OK",NA
"SCBI_014.20240508","SCBI_014.20240508.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20240508","SCBI_014.20240508.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20240508","SCBI_014.20240508.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20240508","SCBI_014.20240508.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20240528","SCBI_014.20240528.AMBAME.M","Tick Sample Condition","OK",NA
"SCBI_014.20240528","SCBI_014.20240528.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20240528","SCBI_014.20240528.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20240528","SCBI_014.20240528.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20240528","SCBI_014.20240528.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20240617","SCBI_014.20240617.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20240617","SCBI_014.20240617.DERVAR.M","Tick Sample Condition","OK",NA
"SCBI_014.20240617","SCBI_014.20240617.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20240617","SCBI_014.20240617.HAELON.N","Tick Sample Condition","OK",NA
"SCBI_014.20240708","SCBI_014.20240708.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20240708","SCBI_014.20240708.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20240708","SCBI_014.20240708.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20240729","SCBI_014.20240729.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20240729","SCBI_014.20240729.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20240729","SCBI_014.20240729.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20240729","SCBI_014.20240729.DERVAR.F","Tick Sample Condition","OK",NA
"SCBI_014.20240821","SCBI_014.20240821.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20240821","SCBI_014.20240821.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20240821","SCBI_014.20240821.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20240909","SCBI_014.20240909.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20240909","SCBI_014.20240909.IXOSCA.N","Tick Sample Condition","OK",NA
"SCBI_014.20240909","SCBI_014.20240909.AMBAME.N","Tick Sample Condition","OK",NA
"SCBI_014.20241009","SCBI_014.20241009.IXOSP.L","Tick Sample Condition","OK",NA
"SCBI_014.20140610","SCBI_014.20140610.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20140610","SCBI_014.20140610.L","Deprecated Vial ID",NA,NA
"SCBI_014.20140610","SCBI_014.20140610.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20140610","SCBI_014.20140610.DERVAR.M","Deprecated Vial ID",NA,NA
"SCBI_014.20190325","SCBI_014.20190325.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20190416","SCBI_014.20190416.AMBAME.M","Deprecated Vial ID",NA,NA
"SCBI_014.20190515","SCBI_014.20190515.DERVAR.F","Deprecated Vial ID",NA,NA
"SCBI_014.20190515","SCBI_014.20190515.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20190530","SCBI_014.20190530.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20190530","SCBI_014.20190530.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20190617","SCBI_014.20190617.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20190617","SCBI_014.20190617.DERVAR.M","Deprecated Vial ID",NA,NA
"SCBI_014.20190617","SCBI_014.20190617.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20190617","SCBI_014.20190617.AMBAME.F","Deprecated Vial ID",NA,NA
"SCBI_014.20190715","SCBI_014.20190715.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20190715","SCBI_014.20190715.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20190715","SCBI_014.20190715.DERVAR.F","Deprecated Vial ID",NA,NA
"SCBI_014.20190715","SCBI_014.20190715.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20190715","SCBI_014.20190715.AMBAME.M","Deprecated Vial ID",NA,NA
"SCBI_014.20190729","SCBI_014.20190729.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20190729","SCBI_014.20190729.DERVAR.M","Deprecated Vial ID",NA,NA
"SCBI_014.20190729","SCBI_014.20190729.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20190819","SCBI_014.20190819.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20190819","SCBI_014.20190819.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20190911","SCBI_014.20190911.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20190911","SCBI_014.20190911.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20191007","SCBI_014.20191007.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20200715","SCBI_014.20200715.DERVAR.F","Deprecated Vial ID",NA,NA
"SCBI_014.20200715","SCBI_014.20200715.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20200803","SCBI_014.20200803.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20200803","SCBI_014.20200803.DERVAR.M","Deprecated Vial ID",NA,NA
"SCBI_014.20200824","SCBI_014.20200824.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20200914","SCBI_014.20200914.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20210519","SCBI_014.20210519.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20210519","SCBI_014.20210519.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210519","SCBI_014.20210519.AMBAME.F","Deprecated Vial ID",NA,NA
"SCBI_014.20210519","SCBI_014.20210519.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210519","SCBI_014.20210519.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210607","SCBI_014.20210607.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210607","SCBI_014.20210607.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20210607","SCBI_014.20210607.AMBAME.F","Deprecated Vial ID",NA,NA
"SCBI_014.20210607","SCBI_014.20210607.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210621","SCBI_014.20210621.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210621","SCBI_014.20210621.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210621","SCBI_014.20210621.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210714","SCBI_014.20210714.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210714","SCBI_014.20210714.DERVAR.F","Deprecated Vial ID",NA,NA
"SCBI_014.20210714","SCBI_014.20210714.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210714","SCBI_014.20210714.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20210802","SCBI_014.20210802.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210802","SCBI_014.20210802.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20210802","SCBI_014.20210802.HAELON.F","Deprecated Vial ID",NA,NA
"SCBI_014.20210802","SCBI_014.20210802.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210824","SCBI_014.20210824.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20210824","SCBI_014.20210824.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20210913","SCBI_014.20210913.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20220509","SCBI_014.20220509.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220509","SCBI_014.20220509.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20220509","SCBI_014.20220509.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220509","SCBI_014.20220509.AMBAME.M","Deprecated Vial ID",NA,NA
"SCBI_014.20220509","SCBI_014.20220509.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220531","SCBI_014.20220531.DERVAR.F","Deprecated Vial ID",NA,NA
"SCBI_014.20220531","SCBI_014.20220531.DERVAR.M","Deprecated Vial ID",NA,NA
"SCBI_014.20220531","SCBI_014.20220531.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220531","SCBI_014.20220531.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220531","SCBI_014.20220531.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220620","SCBI_014.20220620.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220620","SCBI_014.20220620.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20220620","SCBI_014.20220620.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220620","SCBI_014.20220620.DERVAR.M","Deprecated Vial ID",NA,NA
"SCBI_014.20220713","SCBI_014.20220713.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220713","SCBI_014.20220713.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20220713","SCBI_014.20220713.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220803","SCBI_014.20220803.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20220803","SCBI_014.20220803.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220803","SCBI_014.20220803.HAELON.F","Deprecated Vial ID",NA,NA
"SCBI_014.20220803","SCBI_014.20220803.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220822","SCBI_014.20220822.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220822","SCBI_014.20220822.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20220822","SCBI_014.20220822.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20220915","SCBI_014.20220915.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20230327","SCBI_014.20230327.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230327","SCBI_014.20230327.AMBAME.F","Deprecated Vial ID",NA,NA
"SCBI_014.20230417","SCBI_014.20230417.AMBAME.F","Deprecated Vial ID",NA,NA
"SCBI_014.20230417","SCBI_014.20230417.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20230417","SCBI_014.20230417.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230417","SCBI_014.20230417.AMBAME.M","Deprecated Vial ID",NA,NA
"SCBI_014.20230508","SCBI_014.20230508.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230508","SCBI_014.20230508.HAELON.F","Deprecated Vial ID",NA,NA
"SCBI_014.20230508","SCBI_014.20230508.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230531","SCBI_014.20230531.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230531","SCBI_014.20230531.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230531","SCBI_014.20230531.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230619","SCBI_014.20230619.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230619","SCBI_014.20230619.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230710","SCBI_014.20230710.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230802","SCBI_014.20230802.HAELON.F","Deprecated Vial ID",NA,NA
"SCBI_014.20230802","SCBI_014.20230802.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230802","SCBI_014.20230802.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20230821","SCBI_014.20230821.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20230821","SCBI_014.20230821.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230821","SCBI_014.20230821.HAELON.F","Deprecated Vial ID",NA,NA
"SCBI_014.20230821","SCBI_014.20230821.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20230911","SCBI_014.20230911.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20230911","SCBI_014.20230911.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20240415","SCBI_014.20240415.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20240415","SCBI_014.20240415.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20240415","SCBI_014.20240415.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20240415","SCBI_014.20240415.DERVAR.F","Deprecated Vial ID",NA,NA
"SCBI_014.20240508","SCBI_014.20240508.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20240508","SCBI_014.20240508.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20240508","SCBI_014.20240508.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20240508","SCBI_014.20240508.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20240528","SCBI_014.20240528.AMBAME.M","Deprecated Vial ID",NA,NA
"SCBI_014.20240528","SCBI_014.20240528.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20240528","SCBI_014.20240528.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20240528","SCBI_014.20240528.HAELON.N","Deprecated Vial ID",NA,NA
"SCBI_014.20240528","SCBI_014.20240528.IXOSP.L","Deprecated Vial ID",NA,NA
"SCBI_014.20240617","SCBI_014.20240617.IXOSCA.N","Deprecated Vial ID",NA,NA
"SCBI_014.20240617","SCBI_014.20240617.DERVAR.M","Deprecated Vial ID",NA,NA
"SCBI_014.20240617","SCBI_014.20240617.AMBAME.N","Deprecated Vial ID",NA,NA
"SCBI_014.20240617","SCBI_014.20240617.HAELON.N","Deprecated Vial ID",NA,NA
