"eventID","parentEventID","habitat","locationID","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geodeticDatum","locality","sampleSizeValue","sampleSizeUnit","eventDate","eventType","samplingProtocol","eventRemarks","identifiedBy","county","stateProvince","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation"
"D10","NEON",,"D10","US",38.04,-101.67,762604.97,"WGS84","Central Plains (D10)",,,"2014-04-02 18:51:00/2024-09-25 19:04:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D11","NEON",,"D11","US",32.02,-98.47,794489.38,"WGS84","Southern Plains (D11)",,,"2014-04-27 19:37:00/2024-11-14 17:46:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D12","NEON",,"D12","US",45.74,-113.33,733868.86,"WGS84","Northern Rockies (D12)",,,"2018-06-14 16:09:00/2024-08-20 17:56:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D13","NEON",,"D13","US",37.04,-108.66,847105.2,"WGS84","Southern Rockies & Colorado Plateau (D13)",,,"2015-06-24 16:55:00/2024-09-26 18:00:00","survey","Drag sampling | Flagging",,"University of Massachusetts Laboratory of Medical Zoology",,,,,
"D14","NEON",,"D14","US",32.35,-109.91,1103401.19,"WGS84","Desert Southwest (D14)",,,"2016-04-14 14:58:00/2024-10-07 18:10:00","survey","Drag sampling | Flagging",,"Georgia Southern University",,,,,
"D15","NEON",,"D15","US",42.47,-116.06,1274299.05,"WGS84","Great Basin (D15)",,,"2014-06-09 16:00:00/2024-07-25 17:37:00","survey","Drag sampling | Flagging",,"Georgia Southern University",,,,,
"D16","NEON",,"D16","US",60.05,-140.98,4065727.08,"WGS84","Pacific Northwest (D16)",,,"2016-08-29 16:45:00/2024-08-29 20:29:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D17","NEON",,"D17","US",37.33,-120.4,786724.3,"WGS84","Pacific Southwest (D17)",,,"2016-10-27 17:35:00/2024-11-12 21:46:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,,,
"D18","NEON",,"D18","US",69.01,-153.9,3013166.09,"WGS84","Tundra (D18)",,,"2017-07-21 21:04:00/2024-08-25 20:00:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,,,,,
"D19","NEON",,"D19","US",64.16,-150.65,2502898.22,"WGS84","Taiga (D19)",,,"2016-05-19 21:15:00/2024-08-15 18:13:00","survey","Drag sampling | Flagging",,"Georgia Southern University",,,,,
"BART","D01","Deciduous Forest | Evergreen Forest | Mixed Forest","BART","US",44.063889,-71.287375,,"WGS84","Bartlett Experimental Forest NEON (BART)",,,"2014-05-15 13:45:00/2024-09-24 15:53:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Carroll","NH",230,655,"m"
"HARV","D01","Deciduous Forest | Evergreen Forest | Mixed Forest | Woody Wetlands","HARV","US",42.53691,-72.17265,,"WGS84","Harvard Forest & Quabbin Watershed NEON (HARV)",,,"2014-05-06 15:05:00/2024-09-16 18:57:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Worcester","MA",160,415,"m"
"BLAN","D02","Deciduous Forest | Pasture/Hay","BLAN","US",39.033698,-78.041788,,"WGS84","Blandy Experimental Farm NEON (BLAN)",,,"2015-04-23 13:45:00/2024-09-05 19:22:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Clarke","VA",119,193,"m"
"SCBI","D02","Deciduous Forest | Evergreen Forest | Pasture/Hay","SCBI","US",38.892925,-78.139494,,"WGS84","Smithsonian Conservation Biology Institute NEON (SCBI)",,,"2014-06-09 16:30:00/2024-10-09 19:42:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Warren","VA",251,571,"m"
"SERC","D02","Cultivated Crops | Deciduous Forest","SERC","US",38.890131,-76.560014,,"WGS84","Smithsonian Environmental Research Center NEON (SERC)",,,"2015-05-04 15:50:00/2024-09-23 16:43:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Anne Arundel","MD",0,43,"m"
"DSNY","D03","Pasture/Hay | Woody Wetlands","DSNY","US",28.12505,-81.43619,,"WGS84","Disney Wilderness Preserve NEON (DSNY)",,,"2014-04-16 21:24:00/2024-09-04 17:36:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Osceola","FL",15,22,"m"
"JERC","D03","Cultivated Crops | Deciduous Forest | Evergreen Forest | Mixed Forest","JERC","US",31.194839,-84.468623,,"WGS84","The Jones Center At Ichauway NEON (JERC)",,,"2014-06-11 17:44:00/2024-09-03 22:29:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Baker","GA",29,55,"m"
"OSBS","D03","Emergent Herbaceous Wetlands | Evergreen Forest | Woody Wetlands","OSBS","US",29.689282,-81.993431,,"WGS84","Ordway-Swisher Biological Station NEON (OSBS)",,,"2014-04-17 12:44:00/2024-09-10 15:40:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Putnam","FL",22,49,"m"
"GUAN","D04","Evergreen Forest","GUAN","US",17.96955,-66.8687,,"WGS84","Guánica Forest NEON (GUAN)",,,"2016-04-13 11:00:00/2024-10-01 16:00:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,"Guánica Municipio","PR",8,209,"m"
"LAJA","D04","Cultivated Crops | Grassland/Herbaceous | Pasture/Hay","LAJA","US",18.021261,-67.076889,,"WGS84","Lajas Experimental Station NEON (LAJA)",,,"2016-05-18 11:05:00/2024-09-26 14:45:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,"Lajas Municipio","PR",13,41,"m"
"STEI","D05","Deciduous Forest | Mixed Forest | Woody Wetlands","STEI","US",45.50894,-89.58637,,"WGS84","Steigerwaldt-Chequamegon NEON (STEI)",,,"2015-08-12 15:19:00/2024-09-02 20:30:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Lincoln","WI",466,536,"m"
"TREE","D05","Deciduous Forest | Evergreen Forest | Mixed Forest | Woody Wetlands","TREE","US",45.49369,-89.58571,,"WGS84","Treehaven NEON (TREE)",,,"2015-06-19 14:10:00/2024-09-17 18:48:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Lincoln","WI",447,482,"m"
"UNDE","D05","Deciduous Forest | Mixed Forest | Woody Wetlands","UNDE","US",46.23391,-89.537254,,"WGS84","University of Notre Dame Environmental Research Center NEON (UNDE)",,,"2014-06-04 18:14:00/2024-09-09 21:52:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Gogebic","MI",501,538,"m"
"KONA","D06","Cultivated Crops","KONA","US",39.110446,-96.612935,,"WGS84","Konza Prairie Agroecosystem NEON (KONA)",,,"2017-07-03 15:36:00/2024-09-17 17:00:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Riley","KS",312,359,"m"
"KONZ","D06","Deciduous Forest | Grassland/Herbaceous","KONZ","US",39.100774,-96.563075,,"WGS84","Konza Prairie Biological Station NEON (KONZ)",,,"2015-07-01 12:40:00/2024-09-10 18:31:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Riley","KS",333,443,"m"
"UKFS","D06","Deciduous Forest | Pasture/Hay","UKFS","US",39.040431,-95.19215,,"WGS84","University of Kansas Field Station NEON (UKFS)",,,"2015-07-13 14:16:00/2024-09-23 17:32:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Douglas","KS",272,332,"m"
"GRSM","D07","Deciduous Forest | Evergreen Forest","GRSM","US",35.68896,-83.50195,,"WGS84","Great Smoky Mountains National Park NEON (GRSM)",,,"2015-05-13 13:00:00/2024-09-12 18:00:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Sevier","TN",426,1978,"m"
"MLBS","D07","Deciduous Forest","MLBS","US",37.378314,-80.524847,,"WGS84","Mountain Lake Biological Station NEON (MLBS)",,,"2017-08-16 13:49:00/2024-09-12 13:15:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Giles","VA",752,1320,"m"
"ORNL","D07","Deciduous Forest | Evergreen Forest | Pasture/Hay","ORNL","US",35.964128,-84.282588,,"WGS84","Oak Ridge NEON (ORNL)",,,"2014-05-12 14:01:00/2024-09-19 15:57:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Anderson","TN",230,356,"m"
"DELA","D08","Evergreen Forest | Woody Wetlands","DELA","US",32.541727,-87.803877,,"WGS84","Dead Lake NEON (DELA)",,,"2015-06-02 14:00:00/2024-09-03 17:09:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Greene","AL",21,41,"m"
"LENO","D08","Deciduous Forest | Woody Wetlands","LENO","US",31.853861,-88.161181,,"WGS84","Lenoir Landing NEON (LENO)",,,"2016-05-31 15:57:00/2024-09-30 21:00:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Choctaw","AL",,,"m"
"TALL","D08","Deciduous Forest | Evergreen Forest | Mixed Forest","TALL","US",32.95047,-87.393259,,"WGS84","Talladega National Forest NEON (TALL)",,,"2014-05-27 14:35:00/2024-09-16 16:36:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Bibb","AL",63,179,"m"
"DCFS","D09","Grassland/Herbaceous","DCFS","US",47.16165,-99.10656,,"WGS84","Dakota Coteau Field Site NEON (DCFS)",,,"2017-06-07 15:00:00/2024-08-29 17:00:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Stutsman","ND",494,592,"m"
"NOGP","D09","Grassland/Herbaceous","NOGP","US",46.76972,-100.91535,,"WGS84","Northern Great Plains Research Laboratory NEON (NOGP)",,,"2016-05-18 16:16:00/2024-08-21 20:52:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Morton","ND",517,592,"m"
"WOOD","D09","Emergent Herbaceous Wetlands | Grassland/Herbaceous","WOOD","US",47.1282,-99.241334,,"WGS84","Chase Lake National Wildlife Refuge NEON (WOOD)",,,"2014-05-13 15:36:00/2024-09-05 20:56:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Stutsman","ND",569,606,"m"
"CPER","D10","Grassland/Herbaceous","CPER","US",40.815536,-104.74559,,"WGS84","Central Plains Experimental Range NEON (CPER)",,,"2014-04-02 18:51:00/2024-09-25 19:04:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,"Weld","CO",1601,1686,"m"
"RMNP","D10","Evergreen Forest","RMNP","US",40.275903,-105.54596,,"WGS84","Rocky Mountains NEON (RMNP)",,,"2017-06-26 15:00:00/2024-09-12 14:37:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Larimer","CO",2454,3042,"m"
"STER","D10","Cultivated Crops","STER","US",40.461894,-103.02929,,"WGS84","North Sterling NEON (STER)",,,"2014-04-08 16:10:00/2024-08-07 19:34:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,"Logan","CO",1352,1371,"m"
"CLBJ","D11","Deciduous Forest | Grassland/Herbaceous","CLBJ","US",33.40123,-97.57,,"WGS84","Lyndon B. Johnson National Grassland NEON (CLBJ)",,,"2014-04-27 19:37:00/2024-09-26 16:11:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Wise","TX",258,343,"m"
"OAES","D11","Grassland/Herbaceous | Shrub/Scrub","OAES","US",35.410599,-99.058779,,"WGS84","Marvin Klemme Range Research Station NEON (OAES)",,,"2015-03-17 17:19:00/2024-11-14 17:46:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Washita","OK",487,531,"m"
"YELL","D12","Evergreen Forest | Grassland/Herbaceous | Shrub/Scrub","YELL","US",44.95348,-110.53914,,"WGS84","Yellowstone National Park NEON (YELL)",,,"2018-06-14 16:09:00/2024-08-20 17:56:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Park","WY",1847,2244,"m"
"MOAB","D13","Evergreen Forest | Shrub/Scrub","MOAB","US",38.248283,-109.38827,,"WGS84","Moab NEON (MOAB)",,,"2015-06-24 16:55:00/2024-09-26 18:00:00","survey","Drag sampling | Flagging",,"University of Massachusetts Laboratory of Medical Zoology","San Juan","UT",1722,2039,"m"
"NIWO","D13","Evergreen Forest | Grassland/Herbaceous","NIWO","US",40.05425,-105.58237,,"WGS84","Niwot Ridge NEON (NIWO)",,,"2016-06-23 15:56:00/2024-08-20 16:30:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,"Boulder","CO",2975,3583,"m"
"JORN","D14","Shrub/Scrub","JORN","US",32.590694,-106.84254,,"WGS84","Jornada Experimental Range NEON (JORN)",,,"2016-04-20 15:30:00/2024-09-11 16:20:00","survey","Drag sampling | Flagging",,"Georgia Southern University","Doña Ana","NM",1316,1333,"m"
"SRER","D14","Shrub/Scrub","SRER","US",31.91068,-110.83549,,"WGS84","Santa Rita Experimental Range NEON (SRER)",,,"2016-04-14 14:58:00/2024-10-07 18:10:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,"Pima","AZ",897,1461,"m"
"ONAQ","D15","Evergreen Forest | Shrub/Scrub","ONAQ","US",40.177599,-112.45245,,"WGS84","Onaqui NEON (ONAQ)",,,"2014-06-09 16:00:00/2024-07-25 17:37:00","survey","Drag sampling | Flagging",,"Georgia Southern University","Tooele","UT",1599,2061,"m"
"ABBY","D16","Evergreen Forest | Grassland/Herbaceous | Shrub/Scrub","ABBY","US",45.762439,-122.330317,,"WGS84","Abby Road NEON (ABBY)",,,"2016-08-29 16:45:00/2024-08-29 20:29:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Clark","WA",,708,"m"
"WREF","D16","Evergreen Forest","WREF","US",45.82049,-121.95191,,"WGS84","Wind River Experimental Forest NEON (WREF)",,,"2018-04-25 20:12:00/2024-08-29 16:13:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Skamania","WA",300,1008,"m"
"SJER","D17","Evergreen Forest | Grassland/Herbaceous | Shrub/Scrub","SJER","US",37.10878,-119.73228,,"WGS84","San Joaquin Experimental Range NEON (SJER)",,,"2016-10-27 17:35:00/2024-11-12 21:46:00","survey","Drag sampling | Flagging",,"Georgia Southern University","Madera","CA",252,502,"m"
"SOAP","D17","Evergreen Forest | Shrub/Scrub","SOAP","US",37.03337,-119.26219,,"WGS84","Soaproot Saddle NEON (SOAP)",,,"2018-04-09 16:45:00/2024-08-20 19:05:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology","Fresno","CA",1044,1373,"m"
"TEAK","D17","Evergreen Forest | Shrub/Scrub","TEAK","US",37.00583,-119.00602,,"WGS84","Lower Teakettle NEON (TEAK)",,,"2019-06-25 15:45:00/2024-09-12 19:00:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,"Fresno","CA",2086,2734,"m"
"BARR","D18","Emergent Herbaceous Wetlands","BARR","US",71.28241,-156.61936,,"WGS84","Utqiaġvik NEON (BARR)",,,"2017-07-21 21:04:00/2024-08-25 20:00:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,"North Slope","AK",0,13,"m"
"TOOL","D18","Dwarf Scrub | Shrub/Scrub","TOOL","US",68.66109,-149.37047,,"WGS84","Toolik Field Station NEON (TOOL)",,,"2017-07-25 17:19:00/2024-07-24 00:20:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,"North Slope","AK",704,980,"m"
"BONA","D19","Deciduous Forest | Evergreen Forest | Mixed Forest | Woody Wetlands","BONA","US",65.15401,-147.50258,,"WGS84","Caribou-Poker Creeks Research Watershed NEON (BONA)",,,"2017-06-21 18:07:00/2024-08-15 18:13:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,"Fairbanks North Star","AK",212,728,"m"
"DEJU","D19","Evergreen Forest | Shrub/Scrub | Woody Wetlands","DEJU","US",63.88112,-145.75136,,"WGS84","Delta Junction NEON (DEJU)",,,"2016-07-07 17:00:00/2024-08-01 21:12:00","survey","Drag sampling | Flagging",,"Georgia Southern University","Southeast Fairbanks","AK",444,581,"m"
"HEAL","D19","Dwarf Scrub | Evergreen Forest | Shrub/Scrub","HEAL","US",63.875798,-149.21335,,"WGS84","Healy NEON (HEAL)",,,"2016-05-19 21:15:00/2024-08-07 23:35:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,"Denali","AK",588,717,"m"
"BART_015","BART","mixedForest","BART_015","US",44.042146,-71.271613,20.3,"WGS84","BART_015",160,"m","2014-05-15 13:45:00/2024-09-23 18:35:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,,,454.7,455.7,"455.2m"
"BART_002","BART","deciduousForest","BART_002","US",44.035239,-71.274681,20.2,"WGS84","BART_002",160,"m","2014-05-15 16:35:00/2024-09-23 17:29:00","survey","Drag sampling | Flagging",,"Georgia Southern University",,,501,501.6,"501.3m"
"BART_011","BART","mixedForest","BART_011","US",44.048783,-71.295353,20.2,"WGS84","BART_011",160,"m","2014-06-02 18:32:00/2024-09-24 14:58:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,399.3,399.7,"399.5m"
"BART_010","BART","deciduousForest","BART_010","US",44.0511,-71.267761,20.3,"WGS84","BART_010",160,"m","2014-06-03 14:06:00/2024-09-24 13:45:00","survey","Drag sampling | Flagging",,"Georgia Southern University",,,411.5,412.3,"411.9m"
"BART_019","BART","mixedForest","BART_019","US",44.069348,-71.287994,20.3,"WGS84","BART_019",160,"m","2014-06-03 18:41:00/2024-09-23 19:56:00","survey","Drag sampling | Flagging",,"Georgia Southern University",,,231.8,232.8,"232.3m"
"BART_029","BART","evergreenForest","BART_029","US",44.058949,-71.289334,20.1,"WGS84","BART_029",160,"m","2015-05-21 11:50:00/2024-09-24 15:53:00","survey","Drag sampling | Flagging",,"Georgia Southern University",,,292,292.4,"292.2m"
"HARV_022","HARV","evergreenForest","HARV_022","US",42.435458,-72.199287,20.2,"WGS84","HARV_022",160,"m","2014-05-06 15:05:00/2024-09-16 13:57:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,185.4,186.4,"185.9m"
"HARV_004","HARV","mixedForest","HARV_004","US",42.426877,-72.227953,20.4,"WGS84","HARV_004",160,"m","2014-05-06 17:16:00/2024-09-16 16:20:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,181.7,183.5,"182.6m"
"HARV_006","HARV","deciduousForest","HARV_006","US",42.401928,-72.2527,20.3,"WGS84","HARV_006",160,"m","2014-05-06 18:48:00/2024-09-16 17:52:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,190.3,191.3,"190.8m"
"HARV_025","HARV","mixedForest","HARV_025","US",42.474085,-72.274253,,"WGS84","HARV_025",160,"m","2014-05-07 14:39:00/2014-05-07 14:39:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,,,,,"181m"
"HARV_026","HARV","evergreenForest","HARV_026","US",42.412057,-72.246527,20.2,"WGS84","HARV_026",160,"m","2014-05-07 17:17:00/2024-09-16 15:31:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,186.9,187.7,"187.3m"
"HARV_001","HARV","deciduousForest","HARV_001","US",42.424217,-72.260096,20.1,"WGS84","HARV_001",160,"m","2014-05-07 17:22:00/2024-09-16 13:44:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,201.9,202.3,"202.1m"
"HARV_020","HARV","woodyWetlands","HARV_020","US",42.438157,-72.228923,20.2,"WGS84","HARV_020",160,"m","2014-06-23 18:50:00/2017-10-02 17:39:00","survey","Drag sampling | Flagging",,"Georgia Southern University",,,228,228.6,"228.3m"
"HARV_002","HARV","deciduousForest","HARV_002","US",42.477231,-72.259454,20.2,"WGS84","HARV_002",160,"m","2018-04-24 12:32:00/2024-09-16 18:57:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,187.4,188,"187.7m"
"BLAN_004","BLAN","pastureHay","BLAN_004","US",39.088416,-77.961331,20.1,"WGS84","BLAN_004",160,"m","2015-04-23 13:45:00/2024-08-12 16:00:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,123.6,123.8,"123.7m"
"BLAN_008","BLAN","pastureHay","BLAN_008","US",39.083875,-77.966321,20.1,"WGS84","BLAN_008",160,"m","2015-04-23 14:24:00/2024-09-03 17:28:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,159.1,159.3,"159.2m"
"BLAN_012","BLAN","deciduousForest","BLAN_012","US",39.082719,-77.95959,20.2,"WGS84","BLAN_012",160,"m","2015-04-23 15:08:00/2024-09-03 15:43:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,134.7,135.1,"134.9m"
"BLAN_015","BLAN","deciduousForest","BLAN_015","US",39.088729,-77.955492,20.1,"WGS84","BLAN_015",160,"m","2015-04-23 16:18:00/2024-09-05 19:22:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,125.7,126.1,"125.9m"
"BLAN_005","BLAN","deciduousForest","BLAN_005","US",39.086224,-77.972736,20.2,"WGS84","BLAN_005",160,"m","2015-04-23 17:41:00/2024-09-03 18:34:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,168,168.6,"168.3m"
"BLAN_002","BLAN","pastureHay","BLAN_002","US",39.091474,-77.982149,20.1,"WGS84","BLAN_002",160,"m","2015-04-23 19:13:00/2018-09-20 15:54:00","survey","Drag sampling | Flagging",,"Georgia Southern University",,,145.5,145.7,"145.6m"
"BLAN_020","BLAN","pastureHay","BLAN_020","US",39.101651,-77.981855,20.1,"WGS84","BLAN_020",160,"m","2019-03-13 13:36:00/2024-09-03 14:29:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,158.9,159.1,"159m"
"BLAN_069","BLAN","pastureHay","BLAN_069","US",39.097729,-77.980864,20.1,"WGS84","BLAN_069",160,"m","2024-09-03 16:00:00/2024-09-03 16:00:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,,,153.2,153.4,"153.3m"
"SCBI_012","SCBI","pastureHay","SCBI_012","US",38.888915,-78.167196,,"WGS84","SCBI_012",160,"m","2014-06-09 16:30:00/2014-06-09 16:30:00","survey","Drag sampling | Flagging","identifiedBy is NA because there are no occurrence records for this event",,,,,,"241m"
"SCBI_005","SCBI","deciduousForest","SCBI_005","US",38.901865,-78.161944,20.1,"WGS84","SCBI_005",160,"m","2014-06-09 18:28:00/2023-08-02 16:00:00","survey","Drag sampling | Flagging",,"Georgia Southern University",,,261.4,261.8,"261.6m"
"SCBI_006","SCBI","pastureHay","SCBI_006","US",38.897079,-78.150277,20.1,"WGS84","SCBI_006",160,"m","2014-06-09 19:32:00/2024-10-08 18:06:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,277.4,277.6,"277.5m"
"SCBI_014","SCBI","deciduousForest","SCBI_014","US",38.86574,-78.16312,20.4,"WGS84","SCBI_014",160,"m","2014-06-10 16:02:00/2024-10-09 19:19:00","survey","Drag sampling | Flagging",,"Georgia Southern University | University of Massachusetts Laboratory of Medical Zoology",,,361.4,362.4,"361.9m"
